Area,Name,Votes
1. Østerbro,Mia Nyegaard,119
1. Østerbro,Christopher Røhl,43
1. Østerbro,Mette Annelie Rasmussen,176
1. Østerbro,Jes Vissing Tiedemann,15
1. Østerbro,Katrine Kildgaard,75
1. Østerbro,Sally Khallash,20
1. Østerbro,Jino Victoria Doabi,25
1. Østerbro,Dan Kreutzfeldt,6
1. Østerbro,Lartey Lawson,50
1. Østerbro,Emil Moselund,104
1. Østerbro,Kashif Ahmad,13
1. Østerbro,Emil Sloth Andersen,39
1. Østerbro,Kim Mandix,8
1. Østerbro,Hanne Kofoed,6
1. Østerbro,Martin Schepelern,23
1. Nord,Navn,Personlige stemmer
1. Nord,Mia Nyegaard,65
1. Nord,Christopher Røhl,28
1. Nord,Mette Annelie Rasmussen,61
1. Nord,Jes Vissing Tiedemann,9
1. Nord,Katrine Kildgaard,36
1. Nord,Sally Khallash,12
1. Nord,Jino Victoria Doabi,4
1. Nord,Dan Kreutzfeldt,4
1. Nord,Lartey Lawson,27
1. Nord,Emil Moselund,39
1. Nord,Kashif Ahmad,17
1. Nord,Emil Sloth Andersen,18
1. Nord,Kim Mandix,4
1. Nord,Hanne Kofoed,3
1. Nord,Martin Schepelern,9
1. Syd,Navn,Personlige stemmer
1. Syd,Mia Nyegaard,138
1. Syd,Christopher Røhl,60
1. Syd,Mette Annelie Rasmussen,170
1. Syd,Jes Vissing Tiedemann,13
1. Syd,Katrine Kildgaard,87
1. Syd,Sally Khallash,29
1. Syd,Jino Victoria Doabi,20
1. Syd,Dan Kreutzfeldt,6
1. Syd,Lartey Lawson,34
1. Syd,Emil Moselund,107
1. Syd,Kashif Ahmad,24
1. Syd,Emil Sloth Andersen,50
1. Syd,Kim Mandix,10
1. Syd,Hanne Kofoed,15
1. Syd,Martin Schepelern,30
1. Vest,Navn,Personlige stemmer
1. Vest,Mia Nyegaard,63
1. Vest,Christopher Røhl,42
1. Vest,Mette Annelie Rasmussen,66
1. Vest,Jes Vissing Tiedemann,15
1. Vest,Katrine Kildgaard,59
1. Vest,Sally Khallash,17
1. Vest,Jino Victoria Doabi,28
1. Vest,Dan Kreutzfeldt,7
1. Vest,Lartey Lawson,42
1. Vest,Emil Moselund,91
1. Vest,Kashif Ahmad,32
1. Vest,Emil Sloth Andersen,35
1. Vest,Kim Mandix,3
1. Vest,Hanne Kofoed,12
1. Vest,Martin Schepelern,21
1. Nordvest,Navn,Personlige stemmer
1. Nordvest,Mia Nyegaard,80
1. Nordvest,Christopher Røhl,42
1. Nordvest,Mette Annelie Rasmussen,103
1. Nordvest,Jes Vissing Tiedemann,12
1. Nordvest,Katrine Kildgaard,74
1. Nordvest,Sally Khallash,24
1. Nordvest,Jino Victoria Doabi,17
1. Nordvest,Dan Kreutzfeldt,6
1. Nordvest,Lartey Lawson,52
1. Nordvest,Emil Moselund,67
1. Nordvest,Kashif Ahmad,28
1. Nordvest,Emil Sloth Andersen,26
1. Nordvest,Kim Mandix,5
1. Nordvest,Hanne Kofoed,10
1. Nordvest,Martin Schepelern,17
2. Sundbyvester,Navn,Personlige stemmer
2. Sundbyvester,Mia Nyegaard,49
2. Sundbyvester,Christopher Røhl,30
2. Sundbyvester,Mette Annelie Rasmussen,30
2. Sundbyvester,Jes Vissing Tiedemann,5
2. Sundbyvester,Katrine Kildgaard,42
2. Sundbyvester,Sally Khallash,10
2. Sundbyvester,Jino Victoria Doabi,27
2. Sundbyvester,Dan Kreutzfeldt,4
2. Sundbyvester,Lartey Lawson,17
2. Sundbyvester,Emil Moselund,40
2. Sundbyvester,Kashif Ahmad,37
2. Sundbyvester,Emil Sloth Andersen,34
2. Sundbyvester,Kim Mandix,5
2. Sundbyvester,Hanne Kofoed,3
2. Sundbyvester,Martin Schepelern,20
2. Nord,Navn,Personlige stemmer
2. Nord,Mia Nyegaard,89
2. Nord,Christopher Røhl,87
2. Nord,Mette Annelie Rasmussen,76
2. Nord,Jes Vissing Tiedemann,18
2. Nord,Katrine Kildgaard,102
2. Nord,Sally Khallash,15
2. Nord,Jino Victoria Doabi,26
2. Nord,Dan Kreutzfeldt,8
2. Nord,Lartey Lawson,30
2. Nord,Emil Moselund,132
2. Nord,Kashif Ahmad,43
2. Nord,Emil Sloth Andersen,51
2. Nord,Kim Mandix,6
2. Nord,Hanne Kofoed,9
2. Nord,Martin Schepelern,13
2. Syd,Navn,Personlige stemmer
2. Syd,Mia Nyegaard,85
2. Syd,Christopher Røhl,39
2. Syd,Mette Annelie Rasmussen,103
2. Syd,Jes Vissing Tiedemann,12
2. Syd,Katrine Kildgaard,85
2. Syd,Sally Khallash,24
2. Syd,Jino Victoria Doabi,33
2. Syd,Dan Kreutzfeldt,3
2. Syd,Lartey Lawson,38
2. Syd,Emil Moselund,101
2. Syd,Kashif Ahmad,26
2. Syd,Emil Sloth Andersen,40
2. Syd,Kim Mandix,13
2. Syd,Hanne Kofoed,3
2. Syd,Martin Schepelern,20
2. Vest,Navn,Personlige stemmer
2. Vest,Mia Nyegaard,109
2. Vest,Christopher Røhl,75
2. Vest,Mette Annelie Rasmussen,96
2. Vest,Jes Vissing Tiedemann,24
2. Vest,Katrine Kildgaard,68
2. Vest,Sally Khallash,18
2. Vest,Jino Victoria Doabi,15
2. Vest,Dan Kreutzfeldt,1
2. Vest,Lartey Lawson,20
2. Vest,Emil Moselund,90
2. Vest,Kashif Ahmad,13
2. Vest,Emil Sloth Andersen,46
2. Vest,Kim Mandix,5
2. Vest,Hanne Kofoed,16
2. Vest,Martin Schepelern,22
3. Indre By,Navn,Personlige stemmer
3. Indre By,Mia Nyegaard,132
3. Indre By,Christopher Røhl,80
3. Indre By,Mette Annelie Rasmussen,113
3. Indre By,Jes Vissing Tiedemann,24
3. Indre By,Katrine Kildgaard,108
3. Indre By,Sally Khallash,33
3. Indre By,Jino Victoria Doabi,26
3. Indre By,Dan Kreutzfeldt,9
3. Indre By,Lartey Lawson,40
3. Indre By,Emil Moselund,115
3. Indre By,Kashif Ahmad,18
3. Indre By,Emil Sloth Andersen,39
3. Indre By,Kim Mandix,11
3. Indre By,Hanne Kofoed,9
3. Indre By,Martin Schepelern,32
3. Nord,Navn,Personlige stemmer
3. Nord,Mia Nyegaard,75
3. Nord,Christopher Røhl,22
3. Nord,Mette Annelie Rasmussen,84
3. Nord,Jes Vissing Tiedemann,8
3. Nord,Katrine Kildgaard,49
3. Nord,Sally Khallash,20
3. Nord,Jino Victoria Doabi,14
3. Nord,Dan Kreutzfeldt,4
3. Nord,Lartey Lawson,17
3. Nord,Emil Moselund,85
3. Nord,Kashif Ahmad,14
3. Nord,Emil Sloth Andersen,18
3. Nord,Kim Mandix,5
3. Nord,Hanne Kofoed,11
3. Nord,Martin Schepelern,15
3. Syd,Navn,Personlige stemmer
3. Syd,Mia Nyegaard,113
3. Syd,Christopher Røhl,44
3. Syd,Mette Annelie Rasmussen,64
3. Syd,Jes Vissing Tiedemann,8
3. Syd,Katrine Kildgaard,55
3. Syd,Sally Khallash,11
3. Syd,Jino Victoria Doabi,15
3. Syd,Dan Kreutzfeldt,6
3. Syd,Lartey Lawson,16
3. Syd,Emil Moselund,54
3. Syd,Kashif Ahmad,10
3. Syd,Emil Sloth Andersen,38
3. Syd,Kim Mandix,8
3. Syd,Hanne Kofoed,5
3. Syd,Martin Schepelern,16
3. Øst,Navn,Personlige stemmer
3. Øst,Mia Nyegaard,123
3. Øst,Christopher Røhl,48
3. Øst,Mette Annelie Rasmussen,89
3. Øst,Jes Vissing Tiedemann,12
3. Øst,Katrine Kildgaard,90
3. Øst,Sally Khallash,29
3. Øst,Jino Victoria Doabi,32
3. Øst,Dan Kreutzfeldt,7
3. Øst,Lartey Lawson,26
3. Øst,Emil Moselund,95
3. Øst,Kashif Ahmad,20
3. Øst,Emil Sloth Andersen,33
3. Øst,Kim Mandix,4
3. Øst,Hanne Kofoed,11
3. Øst,Martin Schepelern,33
4. Sundbyøster,Navn,Personlige stemmer
4. Sundbyøster,Mia Nyegaard,80
4. Sundbyøster,Christopher Røhl,72
4. Sundbyøster,Mette Annelie Rasmussen,59
4. Sundbyøster,Jes Vissing Tiedemann,16
4. Sundbyøster,Katrine Kildgaard,68
4. Sundbyøster,Sally Khallash,16
4. Sundbyøster,Jino Victoria Doabi,22
4. Sundbyøster,Dan Kreutzfeldt,6
4. Sundbyøster,Lartey Lawson,25
4. Sundbyøster,Emil Moselund,77
4. Sundbyøster,Kashif Ahmad,19
4. Sundbyøster,Emil Sloth Andersen,42
4. Sundbyøster,Kim Mandix,7
4. Sundbyøster,Hanne Kofoed,4
4. Sundbyøster,Martin Schepelern,12
4. Nord,Navn,Personlige stemmer
4. Nord,Mia Nyegaard,105
4. Nord,Christopher Røhl,70
4. Nord,Mette Annelie Rasmussen,57
4. Nord,Jes Vissing Tiedemann,10
4. Nord,Katrine Kildgaard,129
4. Nord,Sally Khallash,18
4. Nord,Jino Victoria Doabi,26
4. Nord,Dan Kreutzfeldt,10
4. Nord,Lartey Lawson,50
4. Nord,Emil Moselund,113
4. Nord,Kashif Ahmad,22
4. Nord,Emil Sloth Andersen,49
4. Nord,Kim Mandix,16
4. Nord,Hanne Kofoed,3
4. Nord,Martin Schepelern,22
4. Syd,Navn,Personlige stemmer
4. Syd,Mia Nyegaard,45
4. Syd,Christopher Røhl,34
4. Syd,Mette Annelie Rasmussen,35
4. Syd,Jes Vissing Tiedemann,8
4. Syd,Katrine Kildgaard,46
4. Syd,Sally Khallash,12
4. Syd,Jino Victoria Doabi,12
4. Syd,Dan Kreutzfeldt,3
4. Syd,Lartey Lawson,19
4. Syd,Emil Moselund,43
4. Syd,Kashif Ahmad,6
4. Syd,Emil Sloth Andersen,24
4. Syd,Kim Mandix,8
4. Syd,Hanne Kofoed,7
4. Syd,Martin Schepelern,18
4. Øst,Navn,Personlige stemmer
4. Øst,Mia Nyegaard,108
4. Øst,Christopher Røhl,32
4. Øst,Mette Annelie Rasmussen,65
4. Øst,Jes Vissing Tiedemann,12
4. Øst,Katrine Kildgaard,47
4. Øst,Sally Khallash,10
4. Øst,Jino Victoria Doabi,20
4. Øst,Dan Kreutzfeldt,4
4. Øst,Lartey Lawson,13
4. Øst,Emil Moselund,51
4. Øst,Kashif Ahmad,10
4. Øst,Emil Sloth Andersen,32
4. Øst,Kim Mandix,12
4. Øst,Hanne Kofoed,7
4. Øst,Martin Schepelern,13
5. Nørrebro,Navn,Personlige stemmer
5. Nørrebro,Mia Nyegaard,47
5. Nørrebro,Christopher Røhl,37
5. Nørrebro,Mette Annelie Rasmussen,28
5. Nørrebro,Jes Vissing Tiedemann,14
5. Nørrebro,Katrine Kildgaard,60
5. Nørrebro,Sally Khallash,10
